timestamp,open,high,low,close,volume_spot,log_return,regime_original,regime,y_target,open_interest,funding_rate,volume_derivatives,oi_growth_rate_24h,oi_trend_confirmation_score,oi_to_volume_ratio_24h,funding_rate_ma_8h,funding_rate_zscore_24h,funding_rate_zscore_abs,oi_weighted_funding_rate,funding_spot_divergence
2021-01-01 01:00:00,28999.37,29475.57,28961.27,29405.8,24.403112,0.0134720558028345,2,2,1,48610.91552177734,-5.545276125612923e-06,19.49311928065593,,0,,,,,,
2021-01-01 02:00:00,29434.69,29465.08,29122.75,29187.35,16.717015,-0.0074565375696611,2,2,0,54033.21939256648,0.0004132465629082,28.9203506067076,,0,,,,,,
2021-01-01 03:00:00,29213.39,29356.23,29149.88,29282.51,8.101748,0.003255013233117,1,1,0,47632.41231224687,0.0005908700394765,10.749680668825636,,0,,,,,,
2021-01-01 04:00:00,29280.63,29405.54,29071.86,29215.39,6.42811,-0.0022947842385683,0,0,0,49494.48082817279,6.677963616569601e-05,6.425044671204487,,0,,,,,,
2021-01-01 05:00:00,29231.31,29231.31,29089.72,29181.8,11.790111,-0.0011503979456719,1,1,0,48969.57749390023,0.0001198848653519,13.506807393777208,,0,,,,,,
2021-01-01 06:00:00,29202.77,29266.94,29093.51,29157.45,6.227519,-0.0008347725215518,0,0,0,50204.99676754479,9.314830254645171e-06,7.052980542896322,,0,,,,,,
2021-01-01 07:00:00,29171.44,29190.71,28837.46,29087.77,14.485248,-0.0023926438338364,1,1,0,49294.53009913822,-0.0001050443508003,24.03002735663645,,-2,,,,,,
2021-01-01 08:00:00,29093.66,29184.92,28876.43,29003.72,6.948582,-0.002893713301205,0,0,0,48698.05958265267,0.0003131805584749,9.051041280652496,,1,,0.00017533585821324105,,,,
2021-01-01 09:00:00,28978.42,29313.06,28978.42,29200.54,22.024613,0.0067631046320268,1,1,0,48228.4507359732,-0.000125622039724,32.7101243876869,,-2,,0.00016032626276344265,,,,
2021-01-01 10:00:00,29200.31,29346.18,29166.56,29217.92,24.946676,0.0005950174144544,0,0,0,47218.92450271567,-0.0003074522487414,23.76338838542809,,0,,7.023891130724265e-05,,,,
2021-01-01 11:00:00,29227.83,29413.02,29216.73,29313.23,22.975535,0.0032567302791903,1,1,0,48930.54720221151,8.902591540008036e-05,26.845610846176147,,0,,7.508395797690194e-06,,,,
2021-01-01 12:00:00,29314.3,29611.51,29167.3,29232.47,31.337072,-0.0027588721707836,0,0,1,47147.39703702533,0.0004807765428042,24.405891615778845,,0,,5.925800912750319e-05,,,,
